country_v117,all_waterbodies,all_twh,l1_waterbodies,l1_twh,core_l2_lower_waterbodies,core_l2_lower_twh,core_l2_upper_waterbodies,core_l2_upper_twh,conservative_l2_lower_waterbodies,conservative_l2_lower_twh,conservative_l2_upper_waterbodies,conservative_l2_upper_twh,core_l3_lower_waterbodies,core_l3_lower_twh,core_l3_upper_waterbodies,core_l3_upper_twh,conservative_l3_lower_waterbodies,conservative_l3_lower_twh,conservative_l3_upper_waterbodies,conservative_l3_upper_twh
Costa Rica,9,3.508897053144742,9,3.508897053144742,1,0.017421032832577458,3,0.08613840162355413,0,0.0,1,0.035937240577074106,0,0.0,2,0.05020116104648003,0,0.0,0,0.0
Croatia,58,3.8998573875090567,58,3.8998573875090567,36,2.9045466079211435,38,2.9490678175887144,0,0.0,0,0.0,32,2.782944485656062,38,2.9490678175887144,0,0.0,0,0.0
Cuba,292,31.84681953015518,292,31.84681953015518,143,13.313064933808208,157,24.36046387378855,134,12.721446187774603,147,23.087556094116348,55,6.949971866969494,112,21.308282828512915,51,6.601680951124437,106,20.196596704686353
Cyprus,25,0.31137483259123233,25,0.31137483259123233,4,0.14579840678115888,18,0.2078150156708129,0,0.0,3,0.009866712112555544,2,0.04970830332658984,18,0.2078150156708129,0,0.0,3,0.009866712112555544
Czechia,135,6.752615061440014,135,6.752615061440014,78,3.3419427037392597,104,3.4523209948007896,43,1.6658202068820391,57,1.717890463326826,65,3.0837203402325994,104,3.4523209948007896,35,1.4876747474781429,57,1.717890463326826
Democratic Republic of the Congo,178,62.0722186473368,178,62.0722186473368,84,22.34986032008243,84,22.34986032008243,64,12.883694189681957,64,12.883694189681957,4,0.10451253136870063,14,5.744336069946595,4,0.10451253136870063,14,5.744336069946595
Denmark,1743,94.44629847736493,83,6.331056667383082,5,0.12010663232673652,5,0.12010663232673652,1,0.026467154225781418,1,0.026467154225781418,4,0.0936394781009551,4,0.0936394781009551,0,0.0,0,0.0
Djibouti,2,1.1355756778703712,2,1.1355756778703712,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dominican Republic,27,9.05092618311066,27,9.05092618311066,5,1.2078393818972517,7,1.717522215230039,4,0.6268690677480001,6,1.1365519010807872,2,0.49437687583233747,5,1.1741549380985774,2,0.49437687583233747,4,0.5931846239493257
Ecuador,275,16.4709830659498,275,16.4709830659498,129,9.16135880462719,131,9.521666540788935,112,8.076068650493479,114,8.436376386655224,10,3.4777307888813414,23,3.8195448755097416,5,2.763665752699445,7,2.7919365210890246
Egypt,79,50.114443351101215,79,50.114443351101215,65,22.013249338805455,65,22.013249338805455,52,13.633697948773383,52,13.633697948773383,25,2.869742321342832,59,20.557987404749838,25,2.869742321342832,47,12.208202936332976
El Salvador,11,9.940770868369118,11,9.940770868369118,8,7.557554408529098,8,7.557554408529098,2,1.4463199671606954,2,1.4463199671606954,2,4.747214072046021,5,5.939257224854525,0,0.0,1,0.25489659636263706
Eritrea,7,1.0748859627027902,7,1.0748859627027902,1,0.05152103527629137,2,0.05829341502199524,1,0.05152103527629137,2,0.05829341502199524,0,0.0,0,0.0,0,0.0,0,0.0
Estonia,45,3.3203587821334137,45,3.3203587821334137,11,0.24480021523165166,11,0.24480021523165166,6,0.13984324063640263,6,0.13984324063640263,11,0.24480021523165166,11,0.24480021523165166,6,0.13984324063640263,6,0.13984324063640263
Ethiopia,85,86.55755748687484,85,86.55755748687484,28,32.30153969741813,33,45.0608618750206,24,27.420118729527925,29,40.1794409071304,3,0.4719175695362668,18,20.114645757441608,3,0.4719175695362668,18,20.114645757441608
Faroe Islands,3,0.03685972261680359,3,0.03685972261680359,0,0.0,2,0.014967482775861763,0,0.0,2,0.014967482775861763,0,0.0,0,0.0,0,0.0,0,0.0
Fiji,3,0.10395888086578368,3,0.10395888086578368,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Finland,2385,164.74853144558548,1742,125.22371301111603,269,10.782341162225018,273,11.21584489144831,185,5.399713978904459,189,5.833217708127751,265,10.722546809033659,272,11.207729911995774,182,5.348272959416481,188,5.8251027286752155
France,627,35.07635143159791,627,35.07635143159791,227,8.32087218094475,330,9.938556174101477,98,2.5456091289880685,157,3.161905446254447,189,6.017195604478271,329,9.930145811489314,79,2.1341270876433525,156,3.153495083642285
Gabon,61,19.733699839353417,61,19.733699839353417,5,0.2877146615634497,5,0.2877146615634497,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gambia,1,0.039579030329198614,1,0.039579030329198614,1,0.039579030329198614,1,0.039579030329198614,1,0.039579030329198614,1,0.039579030329198614,0,0.0,0,0.0,0,0.0,0,0.0
Georgia,33,4.858073827386756,33,4.858073827386756,17,2.1847775226443678,19,2.9422903692555713,14,1.7536902684345756,15,2.1135716954302532,6,1.3242111902768459,16,2.3904732705660243,5,1.1512889716277157,14,2.0917451411731265
Germany,568,21.062928624983137,568,21.062928624983137,272,7.011908628948498,326,7.355229878532879,40,0.6480572481215916,48,0.6677019986176133,258,6.691878398135813,326,7.355229878532879,38,0.6142316466857721,48,0.6677019986176133
Ghana,28,13.310082654352753,28,13.310082654352753,14,4.1145517248973285,14,4.1145517248973285,13,3.443678146727837,13,3.443678146727837,4,1.466465013634248,7,2.20757103037668,4,1.466465013634248,6,1.536697452207188
