scenario,protection,endpoint,missing_case,level,water_saved_km3,legacy_water_saved_km3,delta_vs_legacy_km3,pct_delta_vs_legacy
rh_plus_0.10,conservative,upper,restricted,L2,63.30000565471863,20.14983256723355,43.150173087485086,214.14655900244708
rh_plus_0.10,conservative,upper,restricted,L3,23.396662614627523,7.208188558332417,16.188474056295107,224.5844975514936
no_feedback,core,lower,unadjusted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,core,lower,unadjusted,L2,48.25641923940314,24.813440407138145,23.44297883226499,94.47693849628804
no_feedback,core,lower,unadjusted,L3,8.823288134471056,4.467170353998495,4.3561177804725615,97.51402868649207
no_feedback,core,lower,restricted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,core,lower,restricted,L2,47.51135334090367,24.435742980154632,23.075610360749035,94.43383972195885
no_feedback,core,lower,restricted,L3,8.45645755470872,4.280703652841907,4.1757539018668135,97.54830608501904
no_feedback,core,upper,unadjusted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,core,upper,unadjusted,L2,54.7929519959577,28.08218345100742,26.71076854495028,95.11642352009511
no_feedback,core,upper,unadjusted,L3,20.97144244573962,10.53672226661143,10.434720179128188,99.03193721062132
no_feedback,core,upper,restricted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,core,upper,restricted,L2,54.04306053985787,27.701941613499347,26.341118926358522,95.087627047493
no_feedback,core,upper,restricted,L3,20.05092902461355,10.071971904302268,9.97895712031128,99.07649877427421
no_feedback,conservative,lower,unadjusted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,conservative,lower,unadjusted,L2,34.35556875964756,17.782540508018144,16.573028251629417,93.19831575334605
no_feedback,conservative,lower,unadjusted,L3,6.2148362831082915,3.135713010884651,3.0791232722236406,98.19531511765979
no_feedback,conservative,lower,restricted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,conservative,lower,restricted,L2,33.834379276081556,17.521771650796243,16.312607625285313,93.09907668237429
no_feedback,conservative,lower,restricted,L3,5.95801253740155,3.0056344845197045,2.9523780528818455,98.22811350108763
no_feedback,conservative,upper,unadjusted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,conservative,upper,unadjusted,L2,39.60852120252071,20.412270598535866,19.196250603984847,94.04270098869725
no_feedback,conservative,upper,unadjusted,L3,15.064098921329878,7.546937342870943,7.517161578458935,99.60545896886059
no_feedback,conservative,upper,restricted,L1,133.16146350043425,71.76741688570469,61.39404661472956,85.54584974474483
no_feedback,conservative,upper,restricted,L2,39.08436565742195,20.14983256723355,18.9345330901884,93.96868697052403
no_feedback,conservative,upper,restricted,L3,14.39286444216068,7.208188558332417,7.184675883828264,99.67380605662747
