protection,endpoint,arm,strength,missing_case,waterbodies,L1_TWh,L2_TWh,L3_TWh,L2_fraction_L1,L3_fraction_L1,environmental_candidates,L3_positive_waterbodies,cost_excluded_after_access,model,experiment,period,ice_error_case
conservative,lower,no_ecology,0.5,restricted,199976,16712.988951423074,4782.767215022281,754.5508117335638,0.2861706681505966,0.04514756839286461,40093,5990,2559,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,no_maintenance,0.5,unadjusted,199976,16712.988951423074,3487.837164373878,613.9618444998991,0.20869020942402383,0.03673561002669254,40093,6527,2022,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,no_maintenance,0.5,restricted,199976,16712.988951423074,3416.4030279651092,582.0971640146689,0.20441604059543222,0.03482902823106962,40093,6527,2022,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,no_institutions,0.5,unadjusted,199976,16712.988951423074,3487.837164373878,715.0299061491668,0.20869020942402383,0.04278288630641879,40093,6034,2515,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,no_institutions,0.5,restricted,199976,16712.988951423074,3416.4030279651092,694.5697524794965,0.20441604059543222,0.041558679569422885,40093,5990,2559,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.0,unadjusted,199976,16712.988951423074,5397.197873563869,2313.999043215553,0.3229343290569404,0.13845512911791405,47036,13558,2931,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.0,restricted,199976,16712.988951423074,5397.197873563869,2313.999043215553,0.3229343290569404,0.13845512911791405,47036,13558,2931,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.25,unadjusted,199976,16712.988951423074,4673.0902118319555,1795.1944186587516,0.27960828702839846,0.10741312782989033,47036,12989,3500,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.25,restricted,199976,16712.988951423074,4637.212220958527,1751.0704017717267,0.27746157401508237,0.10477302455361384,47036,12957,3532,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.5,unadjusted,199976,16712.988951423074,3948.982550100039,1350.5853265396147,0.23628224499985634,0.08081051991748103,47036,12513,3976,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.5,restricted,199976,16712.988951423074,3877.226568353184,1276.0968765550194,0.2319888189732242,0.07635360020066086,47036,12446,4043,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.75,unadjusted,199976,16712.988951423074,3224.874888368124,977.772960423585,0.1929562029713143,0.058503775911389555,47036,12100,4389,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,codex_primary,0.75,restricted,199976,16712.988951423074,3117.240915747842,886.112394322817,0.18651606393136613,0.053019384916625965,47036,11999,4490,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,no_ecology,0.5,unadjusted,199976,16712.988951423074,5397.197873563869,1799.078862597225,0.3229343290569404,0.10764554849083637,47036,12513,3976,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,no_ecology,0.5,restricted,199976,16712.988951423074,5397.197873563869,1741.7972820713696,0.3229343290569404,0.10421817947310133,47036,12446,4043,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,no_maintenance,0.5,unadjusted,199976,16712.988951423074,3948.982550100039,1416.9387802818549,0.23628224499985634,0.08478069269358343,47036,13558,2931,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,no_maintenance,0.5,restricted,199976,16712.988951423074,3877.226568353184,1342.8974575419809,0.2319888189732242,0.08035052625506799,47036,13558,2931,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,no_institutions,0.5,unadjusted,199976,16712.988951423074,3948.982550100039,1659.8306106110695,0.23628224499985634,0.09931381008121462,47036,12513,3976,current_reference,current,POWER_2019_2023,current_inventory
conservative,upper,no_institutions,0.5,restricted,199976,16712.988951423074,3877.226568353184,1615.3086051239277,0.2319888189732242,0.09664989367365003,47036,12446,4043,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.0,unadjusted,199976,15929.814759277977,6264.135063309462,1337.5706971543207,0.3932333902163584,0.08396649410974986,45362,6799,3638,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.0,restricted,199976,15929.814759277977,6264.135063309462,1337.5706971543207,0.3932333902163584,0.08396649410974986,45362,6799,3638,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.25,unadjusted,199976,15929.814759277977,5420.0693618027,1048.4671903957235,0.34024685432364477,0.06581791478680356,45362,6625,3812,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.25,restricted,199976,15929.814759277977,5368.24778414834,1022.890954098965,0.33699373566297874,0.06421235711502572,45362,6602,3835,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.5,unadjusted,199976,15929.814759277977,4576.003660295937,791.2277108586599,0.2872603184309311,0.049669611531284526,45362,6425,4012,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.5,restricted,199976,15929.814759277977,4472.360504987216,748.0329891227153,0.280754081109599,0.04695804693441521,45362,6387,4050,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.75,unadjusted,199976,15929.814759277977,3731.9379587891754,565.3304408404254,0.23427378253821743,0.03548882704434217,45362,6167,4270,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.75,restricted,199976,15929.814759277977,3576.4732258260924,513.1490940070555,0.22451442655621923,0.0322131237407003,45362,6095,4342,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,no_ecology,0.5,unadjusted,199976,15929.814759277977,6264.135063309462,1054.0294960313552,0.3932333902163584,0.06616709057570544,45362,6425,4012,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,no_ecology,0.5,restricted,199976,15929.814759277977,6264.135063309462,1021.0958623286858,0.3932333902163584,0.06409966956671424,45362,6387,4050,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,no_maintenance,0.5,unadjusted,199976,15929.814759277977,4576.003660295937,809.9695709438203,0.2872603184309311,0.05084613871432943,45362,6799,3638,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,no_maintenance,0.5,restricted,199976,15929.814759277977,4472.360504987216,767.4535935743236,0.280754081109599,0.048177182545536934,45362,6799,3638,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,no_institutions,0.5,unadjusted,199976,15929.814759277977,4576.003660295937,981.6338783326937,0.2872603184309311,0.061622428958940795,45362,6425,4012,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,no_institutions,0.5,restricted,199976,15929.814759277977,4472.360504987216,953.5439091055218,0.280754081109599,0.05985907077482811,45362,6387,4050,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.0,unadjusted,199976,15929.814759277977,7374.3711595872455,3212.007606827316,0.46292887086412615,0.2016349628269564,56459,15140,5302,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.0,restricted,199976,15929.814759277977,7374.3711595872455,3212.007606827316,0.46292887086412615,0.2016349628269564,56459,15140,5302,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.25,unadjusted,199976,15929.814759277977,6386.648443504957,2523.5670536091125,0.40092421286852636,0.1584178530474948,56459,14824,5618,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.25,restricted,199976,15929.814759277977,6331.67270499964,2461.958932084571,0.39747309059648,0.15455038048390715,56459,14795,5647,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.5,unadjusted,199976,15929.814759277977,5398.925727422667,1913.8011222760326,0.33891955487292647,0.12013957168970722,56459,14451,5991,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.5,restricted,199976,15929.814759277977,5288.974250412033,1808.9642939372202,0.3320173103288338,0.11355840110341697,56459,14396,6046,MPI-ESM1-2-LR,historical,1995_2014,central
